	MM909_01_1	MM909_02_1	MM909_03_1	MM909_06_1	MM909_11_1	MM909_14_1	MM909_15_2	MM909_16_1	MM909_17_1	MM909_22_2	MM909_25_1	MM909_26_1	MM909_27_1	MM909_29_1	MM909_31_1	MM909_34_2	MM909_35_2	MM909_36_1	MM909_37_1	MM909_40_1	MM909_42_1	MM909_43_1	MM909_45_1	MM909_46_1	MM909_47_1
SIRT2	4.82653	4.48743	4.82229	4.68656	4.96222	5.01176	4.60998	5.2452	3.9703	5.04225	4.68315	4.92754	4.8442	4.17896	7.45346	5.50033	4.32463	5.02854	4.85387	5.01116	5.21639	4.49782	4.6123	4.2297	4.01018
SIRT3	3.05817	2.3426	2.74326	2.23123	1.87567	3.21011	2.66027	2.61682	2.48455	2.15923	2.40321	2.4014	2.11513	2.2212	1.94305	2.43667	1.92408	2.67003	2.11223	2.72814	2.08684	1.98445	2.21621	2.12347	2.86345
SIRT4	1.04165	0.72979	1.05891	1.88008	1.5691	0.44676	1.87172	1.39263	1.64002	0.21533	0.77702	0.92344	1.16692	0.56804	0.79597	3.10888	1.05222	1.00129	0.37527	0.86137	0.531	0.68235	0.40605	0.29928	1.67845
SIRT5	1.51534	1.54771	3.089	3.16587	1.82862	2.55422	3.098	3.17104	3.52705	1.435	2.18139	1.72483	2.233	2.04002	1.51783	3.11882	2.47155	2.19611	2.32242	1.7324	2.48515	2.29703	1.804	2.86646	3.9035
SIRT6	1.96511	1.60476	2.20553	2.87127	2.81149	3.44417	3.51718	3.5384	3.63439	3.02896	3.23608	2.25225	2.20887	1.58059	2.21804	3.42914	1.70236	2.67247	2.78164	2.46602	1.63293	2.80589	2.2272	2.42145	1.45852
SIRT7	2.96448	2.09753	2.79749	2.67029	2.74963	3.84698	3.20631	2.81971	3.31346	3.089	3.11102	2.77779	2.72573	2.76398	2.9329	3.90511	1.95085	3.16172	2.96025	2.55934	2.14198	2.65137	3.12385	2.79377	1.91193
SIT1	3.81464	2.7706	0.38388	2.3959	3.07109	3.24038	1.72688	0.45532	1.00666	2.80865	1.60572	2.80687	0.12938	4.69699	1.59189	2.9231	0.50626	3.97069	3.61669	2.50085	2.54888	0.73099	4.52679	1.76705	1.9245
SIVA1	2.75237	3.1604	3.07147	6.66967	4.72698	5.49144	6.17172	4.66695	5.88977	4.92459	5.54446	4.88227	3.63324	3.32773	3.56302	7.83018	3.21156	5.84969	5.53767	4.49332	3.33838	4.1691	3.99398	3.73625	3.92461
SIX1	0.96351	0.48712	0.9625	0.94477	0.81313	1.87213	1.19041	0.32283	0.21642	1.78112	0.8526	1.68776	0.56153	1.20038	0.47993	0.6011	1.27271	0.0972	1.16587	0.72391	1.43943	1.6809	0.15497	1.85484	0.32934
SIX2	0.61364	0.07113	0.31906	0.61463	0.08952	0.63799	0.0737	0.19634	0.05248	1.32304	0.86729	0.6938	0.14036	0.03843	0.13368	0.04706	0.50743	0.0818	0.59215	0.5758	0.27288	0.32974	0.30027	0.00603	0.17956
SIX3	0.06801	0.02047	0.15172	0	0.13631	0	0	0	0.02076	0	0.03419	0.04318	0.02845	0.05833	0.07284	0.02104	0.02025	0.0046	0	0.01866	0	0	0.02766	0	0
SIX4	0.23293	0.21928	1.31457	0.31998	0.17079	0.4141	1.08571	0.76383	0.97772	0.58064	0.34483	0.34179	0.51216	0.1209	0.34023	0.3119	0.44334	0.11488	0.48268	0.59395	0.16593	0.73884	0.05282	0.76993	0.67056
SIX5	2.3656	1.77246	1.98936	1.25712	1.46063	2.22762	1.69692	2.35734	1.02037	2.02281	2.06243	1.92482	1.89502	0.76944	0.98597	1.03616	2.01701	1.58343	1.71252	1.58528	1.36297	2.43605	0.94404	1.12607	1.29864
SIX6	0.10062	0	0	0.03784	0	0	0	0	0	0	0	0	0	0	0.09535	0.07255	0	0.01496	0	0.0717	0	0.12294	0	0.09362	0
SKA1	1.18265	1.05449	1.59416	1.29232	1.77136	1.53069	1.0398	1.09778	2.90426	0.67433	1.23037	1.19998	1.87712	1.36512	1.33676	2.53583	1.74498	0.8025	1.19998	0.82934	1.18563	2.03796	0.63666	1.6072	1.35804
SKA2	4.18325	4.23541	4.37719	4.0798	3.99486	4.16739	3.6487	2.97325	4.05845	3.27962	3.38991	3.605	3.90744	3.77496	3.32301	3.47004	3.73759	3.0936	3.32525	3.18775	3.28209	2.86752	2.63339	3.70073	3.04791
SKA3	0.71905	1.99843	2.18139	2.67582	2.00548	2.59095	1.82399	2.13062	2.8954	1.06337	2.68687	1.87599	3.29516	1.5457	1.9873	2.18358	2.23197	2.29873	2.2496	2.42115	1.85628	1.90362	0.89053	2.21699	1.84468
SKAP1	4.87617	3.41227	0.91833	2.91151	4.33109	2.97325	1.69138	0.61886	3.24681	3.08428	2.10372	2.6448	0.14874	5.3169	1.83164	2.75698	0.98798	4.61993	5.08729	2.93757	3.16828	3.31346	5.2961	3.62024	2.49714
SKAP2	4.35169	5.12282	2.40425	3.82996	4.4905	3.17414	3.84516	4.23095	4.21981	3.98488	3.94876	3.05784	5.18365	4.71648	4.19225	3.75052	4.87265	3.77242	5.12158	4.62195	4.66902	4.24574	3.90079	4.593	2.46869
SKI	3.29962	3.0893	3.92927	1.97739	4.11262	3.39061	2.61646	3.2965	2.13062	4.26519	3.24213	3.44724	3.05025	3.34388	3.72059	1.81487	4.08137	2.60554	3.3354	3.65375	3.38956	3.4081	4.10538	3.08118	2.24786
SKIDA1	0.22335	0.06644	0.23959	0.14279	0.10726	0.06507	0.07922	0.15828	0.05674	0.06152	0.05743	0.10531	0.0856	0.0582	0.04458	0.08139	0.09489	0.04045	0.12402	0.07989	0.0614	0.15838	0.00614	0.22493	0.03924
SKIL	3.43227	2.70986	2.7903	3.01258	3.27385	2.35349	3.22844	2.27815	2.80589	3.41793	2.82769	2.73454	2.29026	3.722	2.36205	1.59488	3.30238	2.26006	1.90875	2.01282	2.42252	2.68492	2.95796	2.37715	2.21775
SKIV2L	3.15902	2.54256	3.51379	3.41793	3.24737	3.54191	3.34769	4.12007	3.56337	2.81511	3.10306	3.29199	3.08359	2.77906	2.92274	3.05174	3.51686	3.44162	3.16635	3.43029	3.43697	3.8697	3.16899	3.86199	2.78628
SKIV2L2	3.85626	4.52679	4.48639	4.22648	3.84967	3.77242	4.33462	4.19181	4.84839	3.41758	3.75563	4.18071	4.41154	4.41469	3.60992	3.77765	4.44241	3.39838	3.80873	4.33422	4.27967	4.30085	3.95482	3.53527	4.2844
SKOR1	0	0.14913	0.05922	0.04063	0.07633	0.1741	0.0872	0.09109	0.01998	0.07564	0.15068	0	0.02768	0.01495	0.44676	0.02031	0.07489	0.00444	0.09802	0	0.05274	0	0.05029	0	0
SKOR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKP1	7.39906	8.45168	8.04793	7.75097	7.47198	6.4099	7.33411	7.98169	7.32865	6.61426	7.45781	7.40947	7.19534	6.95898	6.65793	7.37902	8.25771	7.28587	7.06945	7.77695	7.83018	7.22509	6.76983	6.89775	7.75097
SKP2	2.07635	3.53635	2.95796	3.48704	3.27752	2.05907	2.73192	2.79708	2.31939	1.99298	2.29735	2.52099	3.30171	2.68321	2.98946	2.53548	2.7049	3.3273	2.62451	2.73805	2.12188	2.99029	2.12639	2.6559	2.89992
SLA	4.99557	4.13148	1.23159	2.90278	4.09902	4.76446	1.75547	1.24808	2.26393	4.70125	3.99398	4.11911	1.10748	5.63733	3.85313	4.55821	2.67527	5.06406	5.2554	4.37719	4.48134	1.91402	5.58263	4.62105	2.91658
SLA2	3.16274	1.74498	1.11522	0.75177	2.54854	2.44107	0.51216	0.33638	0.37266	2.01945	1.01442	1.8422	0.20591	3.4954	1.36443	1.09906	0.40698	2.33365	2.89507	1.95394	2.23761	0.61073	3.79029	0.86418	1.11988
SLAIN1	2.2923	1.67647	2.94962	1.39085	1.68238	1.07168	2.6606	2.70802	4.21286	0.4917	1.68238	4.52238	2.93854	2.82769	1.29734	3.79602	3.88984	0.80634	1.37242	2.5143	1.12319	1.06472	2.3869	1.95182	2.82494
SLAIN2	3.31053	3.25922	4.04968	2.7049	3.33606	3.05679	3.24072	3.76619	3.32389	3.28866	3.24341	3.27247	3.85508	3.63991	3.77804	2.83129	3.56517	2.36597	3.03442	2.81193	3.35967	3.30041	3.10275	2.9806	3.2148
SLAMF1	3.95207	2.20659	0.5072	1.71989	2.17884	1.05258	0.59943	0.19779	6.12156	1.71934	0.85543	3.05245	0.17485	4.33382	0.86977	1.00345	0.30964	2.67982	3.45513	1.41512	1.70134	0.35276	3.91538	1.34709	1.04129
SLAMF6	5.08507	2.94158	0.34163	0.65196	2.59706	2.6401	0.32974	0.32223	0.32735	1.68056	0.7194	3.08735	0.08004	4.9961	1.34335	1.34335	0.63849	2.41895	3.15243	2.45437	2.68456	0.41282	4.37584	2.03627	1.7226
SLAMF7	8.52595	4.73873	0.91088	4.28161	5.86733	5.73709	4.45223	7.40197	5.96417	3.93707	5.12497	6.92689	1.80509	6.06545	3.28242	4.63223	2.13888	5.30512	6.54986	3.89602	4.69473	2.78321	4.57992	5.91407	3.81382
SLAMF8	3.50117	2.20887	0.65267	2.08358	3.90623	3.41988	1.36927	0.77808	3.10507	5.13546	3.54988	3.74919	1.08537	3.81305	3.01672	3.84181	2.51655	4.70213	5.05405	4.02231	3.68757	1.71712	3.38407	3.49373	2.33895
SLAMF9	0	0.57913	0.96351	0.57751	1.63598	3.23792	0	0.87132	0.82632	0.65785	3.1679	3.06391	1.02617	0	2.22911	5.37427	1.74881	1.76791	1.18116	0.13207	0	2.27153	0.2203	5.15401	0.46812
SLBP	5.30813	4.99007	5.21639	5.3566	5.21702	5.42707	5.85597	5.59478	5.5727	4.86524	5.90182	5.53388	6.08111	5.48206	5.43264	4.94345	5.07456	5.12752	5.40779	4.90897	5.8661	5.00979	4.87265	5.69068	6.1173
SLC10A1	0	0	0	0	0	0	0	0	0	0	0	0	0.18827	0.05653	0.06581	0	0.0323	0	0.0559	0.03168	0	0.07499	0.04997	0.01295	0.03495
SLC10A2	0	0	0	0	0	0	0	0	0	0	0	0	0.02103	0.00209	0	0	0	0	0	0	0	0	0.00125	0	0
SLC10A3	3.29165	2.6586	3.03442	2.46269	3.33371	3.30768	3.34419	3.32819	2.73735	3.66865	2.98711	3.1332	2.61223	2.59791	3.24247	2.86409	3.28662	3.05995	3.44417	3.41044	2.6218	3.2948	3.29227	2.66706	1.79687
SLC10A4	0	0.09553	0.17619	0	0.15559	0.26999	0	0.11216	0	0.05433	0.04083	0.07981	0.07016	0.02228	0.06055	0.04796	0	0.19289	0.21671	0.04706	0.09095	0.08338	0	0	0
SLC10A5	0.28102	0	0.49907	0.34359	0	0.70676	1.02335	0.6298	0.19259	0.09828	0.35005	0	0.5624	0.04628	0.18774	0	0.22761	0	0.03417	0.1233	0.03698	0.14075	0	0.02003	0.77669
SLC10A6	0.24641	0.66731	0.24665	1.25135	0.21057	0	0.10525	0.43268	0.12409	0.76542	0.42924	0.48993	0.53485	0.82815	0.20345	0.14082	0.82186	0.15064	0.35195	0.10552	0.6324	0.82416	1.87125	0.14206	0.15216
SLC10A7	2.74326	2.03067	1.59003	1.52401	1.59261	1.49887	1.52202	2.21367	2.57733	1.88989	1.63061	1.85734	2.15889	2.24374	1.43308	1.28678	1.69315	1.17004	1.39037	1.48871	1.53334	1.66844	1.59995	1.48276	1.91168
SLC11A1	0.78985	0.06003	0.31331	0.85041	1.69692	1.26463	0.28757	0.77618	0.39944	4.59614	1.90716	0.98864	0.56785	0.26403	1.22367	3.16449	1.49308	2.50368	1.46684	0.28365	0.39981	1.09245	0.62526	1.47078	0.52546
SLC11A2	4.02819	4.50876	4.19668	3.74728	4.00662	3.46715	4.3793	4.93798	3.45025	3.55061	3.51415	5.50033	4.90078	2.89275	3.87911	5.2537	5.24587	4.04307	4.05919	4.03385	4.58761	5.13601	2.87719	5.75973	4.81365
SLC12A1	0	0.0125	0	0.03968	0	0.09783	0	0	0.10955	0.023	0.02925	0.01344	0	0	0.00226	0.08462	0.07029	0.04809	0.0108	0	0.00799	0	0.01393	0.04361	0.02223
SLC12A2	1.80716	3.04461	2.35587	2.15957	1.90239	1.26922	2.39639	3.20277	1.65359	2.13724	1.7106	2.64383	2.4229	2.65798	1.13652	1.96644	3.04791	0.53485	1.65289	2.07356	2.50832	2.3456	1.70314	1.61485	0.9337
SLC12A3	0.17206	0.12067	0	0.01313	0.07237	0.07533	0.02595	0	0	0.0837	0.05324	0.10616	0	0.33778	0.18	0.04381	0.01108	0.13703	0.15397	0.08591	0.22545	0.031	0.66448	0.06737	0.01157
SLC12A4	3.28028	2.71202	2.26363	2.33111	2.73568	3.31316	2.46987	2.86276	2.24585	3.599	2.82393	3.18481	3.36248	2.1553	2.75375	3.49747	2.91058	2.90779	2.97991	3.327	2.98337	3.67643	3.23437	3.03442	2.67216
SLC12A5	0.09305	0.04182	0	0.20908	0	0	0.18417	0.04575	0.03512	0.02411	0.62041	0.06222	0.06032	0.04524	0.72391	0.33024	0.45637	0.03809	0.02727	0.4941	0.05995	0.01981	0.06877	0.10131	0.0421
SLC12A6	2.6052	2.87127	2.25159	1.29165	1.73325	1.68161	1.84563	2.42503	1.80227	2.58934	2.00731	2.32701	1.9021	3.4027	1.57422	0.42569	2.39235	1.41673	1.97134	1.93786	1.95329	1.77427	3.15076	1.96332	1.37996
SLC12A7	2.6426	2.08506	2.77128	2.22034	2.99943	6.36268	0.91207	1.15103	0.79079	3.37453	2.59343	2.98774	1.44692	2.87964	3.28662	1.91576	1.6477	2.40558	3.20001	2.38766	3.25033	1.3884	2.83164	2.7049	2.2392
SLC12A8	1.1985	0.47252	0.71794	0.51572	1.28396	0.62016	0.80883	0.52988	1.21162	3.25863	2.46156	1.44802	0.29182	0.69561	0.41776	0.28978	1.42764	4.04568	2.03796	3.51941	1.26497	0.76383	0.94182	1.42949	1.26545
SLC12A9	2.46869	2.67582	1.94377	1.97779	2.83904	3.05272	2.48552	2.23332	1.55451	3.63371	3.32076	3.39207	3.42914	2.23454	2.70986	2.83613	2.91497	2.57912	3.33838	3.29683	2.68222	3.13862	2.72497	2.78697	1.25797
SLC13A1	0	0	0.0496	0.01551	0	0	0.0442	0	0.02787	0.00616	0.04423	0.02865	0	0	0.00043	0	0.03809	0	0.0079	0.01209	0	0	0	0	0
SLC13A2	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.19656	0	0	0	0	0	0	0	0.00513	0
SLC13A3	3.18158	7.57179	1.89213	2.3154	2.03067	0.41547	1.87057	1.50463	0.07687	0.65575	0.82757	4.72766	1.40694	0.22916	2.84409	2.45725	2.56063	2.57504	1.64618	3.10855	4.05996	2.11654	0.34697	0.81371	1.10273
SLC13A4	0	0.03486	0	0	0	0	0	0	0.03786	0.09577	0	0	0.02536	0.00298	0	0.01825	0.06693	0.11253	0.05941	0	0.01309	0	0.03329	1.12953	0
SLC13A5	0.06015	0.02053	0.06087	0.01871	0.06841	0.0724	0.03623	0	0	0.01006	0.01735	0	0.05791	0.07589	0.00202	0.01636	0	0.0505	0.03373	0	0	0	0.10213	0	0.02151
SLC14A1	0.64274	0.5651	0.41064	0.52973	0.27055	0.46633	0.32357	0.48775	0.16084	0.54698	0.24166	0.3963	0.27265	0.99673	0.18045	0.23793	0.29138	0.21345	0.19213	0.68694	0.42882	0.26936	0.57305	0.29251	0.05148
SLC14A2	0.10833	0.03564	0.16561	0.02428	0	0	0.02865	0.04232	0.05231	0.17392	0	0.01543	0.06858	0.02634	0.02092	0.04432	0.03499	0.02143	0.01878	0.01248	0.03634	0.05167	0.09313	0.03375	0.04846
SLC15A1	0.15984	0	0.05331	0	0	0	0.05376	0	0.03556	0.07546	0.08405	0.01772	0.11975	0.00997	0.00081	0	0.03193	0.02305	0.04077	0	0.04346	0.03756	0.0396	0	0.03537
SLC15A2	1.76629	2.14165	0.30428	0.19898	0.43491	0.22971	0.28743	0.08546	0.23703	0.25233	0.12612	0.6775	0.15984	1.11957	0.18286	0.42142	0.15357	0.4406	0.25303	0.30177	0.32239	0.18838	0.87649	0.23935	0.42799
SLC15A3	4.32156	2.20386	1.9873	2.88317	4.10294	4.02231	2.13172	1.6575	2.21239	5.84516	5.05346	4.37167	1.56814	3.83797	3.37328	3.82233	2.94231	5.79931	5.39531	4.8936	4.51939	2.1585	4.7313	3.26231	2.2647
SLC15A4	3.38226	4.44152	5.22546	3.78487	3.13393	4.24742	4.75121	4.41326	4.77601	3.9919	3.81464	4.26519	3.85379	4.05563	5.08507	3.33735	4.98739	3.50967	3.82675	3.81464	4.06496	3.95897	3.82233	3.91538	4.65925
SLC15A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208	0	0
SLC16A1	3.39656	3.931	4.37252	4.1229	3.94911	2.58834	4.48537	4.88399	5.56858	3.51648	4.31424	4.00344	5.86826	3.2704	4.93855	3.32346	5.44883	3.3606	3.72889	3.95597	4.6837	5.08286	2.87416	4.68485	5.80246
SLC16A10	0.52003	1.02411	3.50254	0.37197	1.07614	0.75531	1.88458	4.3905	2.62842	1.72148	1.52081	0.67544	1.53069	0.37761	0.24627	1.27057	1.91576	0.80116	0.71623	1.29404	0.48919	0.9502	0.91959	1.41003	1.24843
SLC16A11	0.20449	0.3746	0	0.03166	0.10621	0.14215	0.04895	0	0	0	0.17088	0.03193	0	0.18174	0	0	0.02881	0.08282	0.0492	0.14349	0.10999	0.0334	0.11717	0.00964	0
SLC16A12	0.1129	0.03916	0.07538	0.19483	0.13368	0.32302	0.09841	0.21609	0.0428	0.21517	0.04476	0.08139	0.29225	0.03356	0.04443	0.07507	0.15348	0.13794	0.02177	0	0.09427	0.0801	0.04951	0.04447	0.44553
SLC16A13	1.23663	0.29467	0.53627	0.38463	0.63003	1.14494	0.70756	1.49308	0.14139	1.05449	0.83327	0.85743	0.61967	0.99126	0.22271	0.38508	0.81565	0.36183	1.22938	0.59669	0.84556	0.49522	0.88696	0.3707	0.12718
SLC16A14	2.41606	0.84331	0.22106	0.70963	0.56607	0.42611	0.6979	0.47558	0.73005	1.31754	0.55157	1.13208	0.53561	1.10429	0.21039	0.10907	0.73044	0.12836	0.77574	0.43491	0.60976	0.7815	0.91491	0.70841	0.16914
SLC16A2	1.51216	2.37846	1.83771	1.353	1.25542	0.67811	0.34296	0.77018	0.23382	2.53014	1.0946	1.15652	0.85289	1.55708	1.6943	0.19028	1.64512	1.8702	1.42282	1.97592	1.78335	1.12034	2.41419	0.64889	0.62408
SLC16A3	3.85799	1.41913	2.23861	2.42011	3.7758	5.46238	1.68458	1.97332	1.63636	5.60161	4.95005	4.07251	3.53271	1.86492	4.11444	3.69685	3.83246	4.03069	4.64736	3.2172	2.73222	4.27639	3.27422	4.24344	2.89447
SLC16A4	3.45972	4.82365	4.75429	4.44638	3.39553	2.46707	4.47705	5.1828	4.57612	1.8142	3.5656	4.51939	3.10442	2.5183	2.62523	3.48663	3.72707	3.57742	1.58821	4.05065	3.47043	3.55411	1.12991	3.81571	5.38366
SLC16A5	0.86038	1.56942	2.0662	1.58256	0.54876	1.99197	2.20284	3.32525	0.22971	2.11342	1.67878	2.12018	1.83771	0.78428	2.87904	1.68537	1.49806	1.79859	1.19219	1.11339	1.3324	1.60844	1.11114	1.93065	2.17219
SLC16A6	1.56663	0.57188	5.93767	0.33857	0.92789	6.12285	0.99406	0.69675	3.62217	1.43687	1.41471	6.31061	0.91457	1.61939	3.55849	5.04411	0.95411	0.71285	1.90142	0.44917	0.60158	3.85508	1.71712	6.82267	2.35734
SLC16A7	1.04612	0.66483	0.32318	0.64864	0.55515	0.40199	0.15578	0.28299	0.13928	1.11551	0.24439	1.22032	1.66432	1.75687	0.76135	0.23212	1.32048	0.15245	0.41581	0.24297	0.43636	0.24889	1.28135	2.40285	0.20563
SLC16A8	0	0	0.07849	0.10846	0.77808	0.29802	0.29096	0	0	0.29369	0.18294	0	0.07935	0.04621	0.0201	5.2136	0.15589	0.14986	0.82112	0.02706	0.02533	0.26805	0.02396	0.07025	0.22902
SLC16A9	0.05551	0.18483	0	0.17807	0.12829	0.06923	0.10886	0	0.02618	0.21562	0	0.02747	0	1.24217	0.24979	0	0.01269	0.35552	0.0632	0.0359	0.03356	0.01655	0.86848	0.02647	0.17451
SLC17A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC17A2	0	0	0	0	0	0	0	0	0.02806	0	0.06415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC17A3	0.16484	0.83357	0	0	0.27317	0	0.05497	0	0	0	0	0	0	0.03546	0	0	0	0.09582	0	0	0	0	0	0	0
SLC17A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593	0.0147	0	0	0	0	0	0	0	0	0
SLC17A5	3.11462	3.1178	2.85534	4.39859	3.78219	3.16996	3.85427	4.961	3.99765	3.33507	3.55809	3.13862	2.6344	2.34849	2.59706	4.10538	3.91796	3.22006	3.40129	3.04315	3.24644	3.5384	2.40321	3.74581	5.10642
SLC17A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01649	0.01391	0	0	0.12735	0	0	0	0	0	0
SLC17A7	0.68235	0.46202	0.06704	0.45591	0.26138	0.48185	0.63849	1.48631	0.99773	0.55637	0.39071	0.17766	0.36332	0.76966	1.60541	1.95921	0.9208	0.05833	0.20529	0.25826	0.1701	0.39602	1.46125	1.19546	0.0929
SLC17A8	0.05625	0	0	0	0	0	0.02827	0	0	0	0	0	0	0	0.00043	0.02659	0	0	0	0	0	0.01703	0.00118	0.00272	0
SLC17A9	3.58306	1.58096	0.27006	0.79207	2.09822	1.02335	0.23883	0.35873	0.17216	2.29616	3.44059	2.77693	0.4352	1.90907	0.35584	0.88736	0.42166	1.96824	1.56731	0.58613	0.46894	0.51688	1.73998	2.35587	0.66701
SLC18A1	0.10175	0.03678	0.0994	1.32745	0.57603	0	0	0	0	0	0.06343	0	0.02647	0.02691	0.04151	0.03623	0	0.11884	0.12073	0.01664	0	0.06211	0.09187	0.01651	0.05918
SLC18A2	1.20443	1.23663	2.21665	0.66448	1.48375	0.5651	2.21699	1.72038	1.8626	1.73852	0.90553	1.17087	1.30121	1.61	1.31103	0.40484	1.36443	0.33489	0.722	0.70729	1.52848	1.53948	0.77397	1.12678	0.65069
SLC18A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04374
SLC18B1	3.50336	2.86099	5.70894	4.41154	2.74878	4.32156	5.05532	6.30767	3.81571	3.64514	4.18071	5.68561	5.78568	3.4458	3.93906	4.19976	2.285	3.73478	2.6126	3.43125	6.56059	3.53677	2.59129	4.10164	5.53388
SLC19A1	1.01004	1.22367	2.61879	3.02827	1.93024	2.27218	3.06252	2.84771	2.0712	1.5295	2.73533	2.82605	2.58322	1.05027	1.60369	1.3285	1.62613	1.55418	1.86896	0.94037	1.23602	2.92117	1.384	1.58786	2.65798
SLC19A2	2.51655	3.11494	3.65129	4.31888	3.17135	3.92041	3.98874	3.88595	4.84191	1.35513	2.84945	3.33148	4.8171	1.43763	4.03654	4.3793	3.42852	1.61939	2.70331	2.45184	4.37215	4.11872	4.02319	4.69214	5.35472
SLC19A3	0.0647	0.45849	0	0.5624	0.56989	0	0.04781	0.049	0.01374	0.92789	0.44639	0.72285	0.05145	0.51669	1.28043	0.69247	0.54856	0.27756	0.1233	0.69821	0.01412	0.57726	2.94295	0.73354	1.47249
SLC1A1	0.79274	0.39708	0.44334	0.65438	0.54721	0.48395	1.19998	0.53627	2.4866	1.82932	0.29182	1.15727	1.49537	1.02872	0.28952	1.30775	0.84064	0.56193	0.67457	1.16009	0.17178	0.65383	0.43953	0.4323	1.55678
SLC1A2	0.06897	0.31219	0	0.043	0.06977	0	0.02567	0.041	0.15699	0.15373	0.03734	0.04884	0.01717	0.74146	0.02752	0.02294	0.03646	0.03963	0.01992	0.10967	0.02686	0.02561	0.61251	0.01361	0.02185
SLC1A3	3.03008	4.07096	1.08944	3.16071	3.20277	2.43847	1.44835	0.89683	2.63173	3.5884	4.0646	3.18515	1.17808	3.40095	4.06414	4.45651	2.47662	4.69265	3.87955	4.2372	3.18354	1.88787	2.7823	3.48319	1.74651
SLC1A4	5.49763	5.61382	2.7014	2.11042	3.27422	5.29831	5.13229	6.13469	1.18221	3.20436	3.57276	6.35992	3.6941	2.85829	5.37949	3.62626	2.83959	2.02939	3.4288	4.11476	5.28357	2.63751	2.84771	5.40964	3.20712
SLC1A5	6.60155	5.66708	3.63797	4.99557	5.18043	5.6651	6.01099	5.38809	5.75682	5.39034	5.55774	5.12158	4.87793	4.5901	4.06336	4.63671	5.81147	5.04744	5.49939	4.60721	4.95265	5.67896	4.94545	6.6487	3.76313
SLC1A6	0	0.04889	0.14534	0.02139	0	0.07203	0.03018	0.08353	0.05486	0.00686	0.01299	0.06604	0.02316	0.00246	0.00639	0.08597	0.03414	0.02421	0.05312	0.0147	0.05678	0	0.00681	0.04271	0.05274
SLC1A7	0.11501	0	0.20656	0.06338	0	0	0.03838	0.34104	0	1.35402	0.16643	0.12014	0.03088	0.06407	0.12134	0.06711	0.12707	0.07503	0.51754	0.19126	0.07489	0.10012	0.34179	0	0.04556
SLC20A1	4.48537	5.1489	4.961	4.18071	4.7997	5.12898	5.07807	4.11402	5.89556	5.28357	4.15798	5.42621	4.4569	4.82495	4.34765	3.25783	4.44506	4.51518	4.63432	4.60142	3.66594	6.75519	5.59478	6.21411	3.35114
SLC20A2	1.42544	2.84806	3.67345	2.86615	2.65002	1.6377	2.0985	2.94833	3.0405	2.84732	2.49407	2.9329	3.91611	2.53747	3.56142	1.83635	4.6185	2.36707	2.62609	1.84727	2.49949	2.79377	2.58082	1.6591	1.9792
SLC22A1	0	0.05378	0.7403	0.13332	0.1717	0.13578	0	0.2653	0.13724	0.13153	0.04968	0.18074	0.26936	0.11786	0.45575	0.24689	0.26689	0.11196	0.18057	0.19634	2.49884	0.10006	0.04053	0.19839	0.03112
SLC22A10	0	0.05409	0	0.04738	0	0	0	0	0	0	0	0	0	0	0	0.08515	0	0	0	0	0	0	0	0	0
SLC22A11	0	0.05327	0.14944	0.05145	1.24458	0	0.04601	0.06877	0.0929	0.03489	0	0.0593	0	0.00627	0.05625	0.02782	0	0.006	0.04612	0	0.02487	0.09194	0.00509	0.00786	0.02873
SLC22A12	0	0	0	0	0	0	0	0.04778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A13	0.10686	0	0	0	0	0	0.03546	0	0	0.02696	0	0	0	0	0	0	0	0	0	0	0	0	0.01466	0.01885	0.02096
SLC22A14	0	0	0	0.02925	0	0	0	0	0	0.08449	0	0.05886	0	0.02585	0.00387	0.05345	0.03495	0.00773	0	0	0	0.0313	0	0.01543	0.0867
SLC22A15	0.52501	0.93263	0.15616	0.64608	0.93636	0.76323	2.49204	2.07838	3.04216	1.30597	1.19914	0.6199	0.15426	0.67168	1.83914	2.08163	0.57237	1.00608	0.57726	0.61073	0.54751	1.09932	0.45492	0.6979	0.40922
SLC22A16	0	0.02632	0	0.05372	0.35005	0	0	0.15809	0.20025	0.31816	0.09011	0.20037	0.03774	0.09494	0.00369	0.26253	0.10099	0.08925	0.12931	0.12951	0.02378	0	0	0.02815	0.13855
SLC22A17	2.84976	3.02089	0.52834	2.38726	4.10164	0.77857	1.84526	1.9346	1.82185	2.4337	2.04607	1.70203	1.4473	1.86529	1.61939	2.25824	2.26112	2.99314	1.28103	2.37846	4.46906	1.31283	1.89035	0.42689	0.80883
